En fluide visqueux
Re est 500000
Angle d’attaque	Coefficient de portance	Coefficient de trainée	Coefficient de moment
0	0	0.00730	0
1	0.1057	0.00738	0.0021
2	0.2109	0.00770	0.0044
3	0.3154	0.00824	0.0069
4	0.4223	0.00905	0.0088
5	0.5489	0.01016	0.0058
6	0.6945	0.01150	-0.0019
7	0.8395	0.01298	-0.0099
8	0.9448	0.01440	-0.0101
9	1.0059	0.01585	-0.0012
10	1.0641	0.01751	0.0081
11	1.1194	0.01961	0.0171
12	1.1659	0.02231	0.0260
13	1.2122	0.02597	0.0322
14	1.2450	0.03152	0.0364
15	1.2686	0.03913	0.0378
